Catalog Number	Species	Collector	Collection Date	Location
150247	 Symphyotrichum cordifolium 		 Asteraceae	Carl O. Erlanson	822: 09/31/1924
150248	 Symphyotrichum cordifolium 		 Asteraceae	Carl O. Erlanson	: 10/04/1921
150256	1250890 Symphyotrichum laeve 		 Asteraceae	George B. Sudworth	: 08/24/1884
150262	1250811 Symphyotrichum laeve 		 Asteraceae	Anton A. Reznicek	7988: 06/28/1987
150288	1250723 Symphyotrichum cordifolium 		 Asteraceae	A.J. Pieters	: 09/26/1892
150302	 Rudbeckia laciniata 		 Asteraceae	Frederick J. Hermann	8380: 08/20/1936
150308	 Ageratina altissima 		 Asteraceae	Frederick J. Hermann	8386: 08/20/1936
150337	1250581 Symphyotrichum boreale 		 Asteraceae	Peter W. Fritsch	116: 09/15/1985
150339	1250542 Symphyotrichum boreale 		? Asteraceae	Carl D. LaRue	: 08/30/1915
150340	1250541 Symphyotrichum boreale 		 Asteraceae	Carl D. LaRue	: 08/07/1915
150388	 Symphyotrichum cordifolium 		 Asteraceae	Elizabeth C. Almendinger	: 09/00/1868
150424	1250746 Symphyotrichum cordifolium 		 Asteraceae	John H. Ehlers	3804: 10/25/1928
150488	1250861 Symphyotrichum laeve 		 Asteraceae	Cyrus L. Lundell	9678: 10/02/1940
150491	1250864 Symphyotrichum laeve 		 Asteraceae	Cyrus L. Lundell	8293: 10/04/1939
150496	1251076 Symphyotrichum lanceolatum 		 Asteraceae	A.J. Pieters	: 09/18/1892
144647	1256454 Senecio vulgaris 		 Asteraceae	Rogers McVaugh	23642: 06/21/1967
144652	1217509 Euthamia graminifolia 		 Asteraceae	Peter W. Fritsch	99: 09/01/1985
144682	1257442 Solidago rigida 		 Asteraceae	Cyrus L. Lundell	8303: 10/04/1939
144700	1003227 Solidago rigida 		 Asteraceae	A.J. Pieters	92: 09/03/1892
144701	1257445 Solidago rigida 		 Asteraceae	Elizabeth C. Almendinger	: 08/18/1860
144703	1257444 Solidago rigida 		 Asteraceae	Carl D. LaRue	: 09/09/1915
144706	1217533 Euthamia graminifolia 		 Asteraceae	A.J. Pieters	89: 08/31/1892
144752	1257460 Solidago rigida 		 Asteraceae	Carl D. LaRue	: 09/14/1915
144772	1319229 Carex aggregata 		 Cyperaceae	Anton A. Reznicek	8794: 08/14/1990
148306	1253316 Conyza canadensis 		 Asteraceae	Elizabeth C. Almendinger	: 08/24/1860
148348	1255557 Liatris cylindracea 		 Asteraceae		: 07/31/1861
148349	1255556 Liatris cylindracea 		 Asteraceae	Elizabeth C. Almendinger	: 00/00/00
148357	1255558 Liatris cylindracea 		 Asteraceae	A.J. Pieters	: 08/12/1892
148378	1253321 Conyza canadensis 		 Asteraceae	Anton A. Reznicek	8555: 08/21/1989
148384	1003123 Arnoglossum atriplicifolium 		 Asteraceae	Elizabeth C. Almendinger	: 08/21/1866
148444	1311020 Liatris aspera 		 Asteraceae	Nathan H. Winchell	: 08/03/1862
148525	1479924 Liatris aspera 		 Asteraceae	Elizabeth C. Almendinger	: 08/01/1860
148528	1255698 Liatris spicata 		 Asteraceae	Peter W. Fritsch	86: 08/25/1985
150504	1250855 Symphyotrichum laeve 		 Asteraceae	Elizabeth C. Almendinger	: 09/28/1862
150524	1250901 Symphyotrichum laeve 		 Asteraceae	Carl D. LaRue	: 08/30/1915
150526	1250805 Symphyotrichum laeve 		 Asteraceae	Carl O. Erlanson	: 10/19/1921
150527	1250806 Symphyotrichum laeve 		 Asteraceae	John H. Ehlers	3805: 10/25/1928
150550	1251146 Symphyotrichum lateriflorum 		 Asteraceae	Calvin H. Kauffman	: 10/09/1906
150587	1251186 Symphyotrichum lateriflorum 		 Asteraceae	S.H. Emerson	6: 09/00/1924
150606	1250880 Symphyotrichum laeve 		 Asteraceae	Louis H. Jordal	3334: 10/14/1949
150618	 Symphyotrichum cordifolium 		 Asteraceae	Cyrus L. Lundell	9683: 10/02/1940
150666	 Symphyotrichum dumosum 		or hybrid Asteraceae	Louis H. Jordal	3329: 10/07/1949
150761	1250929 Symphyotrichum laeve 		 Asteraceae	Mark W. Harrington	: 09/09/1879
150783	1252113 Symphyotrichum laeve 		x ? Asteraceae	A.J. Pieters	: 09/18/1892
150790	1003112 Symphyotrichum lateriflorum 		 Asteraceae		: 09/09/1879
150831	1251074 Symphyotrichum lanceolatum 		 Asteraceae	Rogers McVaugh	8922: 10/01/1947
150843	1251113 Symphyotrichum lateriflorum 		 Asteraceae	Rogers McVaugh	8918: 10/01/1947
150856	1251480 Symphyotrichum novae-angliae 		 Asteraceae	S.H. Emerson	23: 09/00/1924
150870	1251235 Symphyotrichum lateriflorum 		 Asteraceae	George B. Sudworth	: 09/08/1890
150874	1252092 Symphyotrichum lanceolatum 		x lateriflorus ? Asteraceae	Carl O. Erlanson	861: 10/09/1925
150893	1251030 Symphyotrichum lanceolatum 		or hybrid Asteraceae	Cyrus L. Lundell	8301: 10/07/1939
150900	1250993 Symphyotrichum lanceolatum 		 Asteraceae	A.J. Pieters	: 09/27/1892
150934	1251164 Symphyotrichum lateriflorum 		 Asteraceae	A.J. Pieters	: 09/19/1892
150945	1251393 Eurybia macrophylla 		 Asteraceae	George B. Sudworth	268: 08/16/1884
150957	1251012 Symphyotrichum lanceolatum 		 Asteraceae	A.J. Pieters	: 09/18/1892
150995	1251331 Eurybia macrophylla 		 Asteraceae	Frederick J. Hermann	1464: 08/07/1927
150996	1251332 Eurybia macrophylla 		 Asteraceae	Carl D. LaRue	: 08/14/1915
151013	1251846 Symphyotrichum urophyllum 		 Asteraceae	Carl O. Erlanson	: 10/04/1921
151014	1251848 Symphyotrichum urophyllum 		 Asteraceae	Mark W. Harrington	: 09/09/1879
151034	1251196 Symphyotrichum lateriflorum 		 Asteraceae	A.J. Pieters	: 09/18/1892
151051	1251364 Eurybia macrophylla 		 Asteraceae	A.J. Pieters	15: 08/20/1892
151059	1003100 Symphyotrichum puniceum 		 Asteraceae	John H. Ehlers	5524: 09/15/1933
151084	1251116 Symphyotrichum lateriflorum 		 Asteraceae	A.J. Pieters	: 08/24/1892
151093	1252070 Symphyotrichum lateriflorum 		x lanceolatus ? Asteraceae	Edward G. Voss	2889: 10/01/1955
151134	1251334 Eurybia macrophylla 		 Asteraceae	Elizabeth C. Almendinger	: 00/00/00
151207	1251779 Symphyotrichum puniceum 		 Asteraceae	Carl D. LaRue	: 08/19/1915
151246	1251624 Symphyotrichum pilosum 		sensu lato Asteraceae	Samuel Alexander	: 10/04/1906
151259	1251558 Symphyotrichum oolentangiense 		 Asteraceae	A.J. Pieters	: 09/18/1892
151263	1251336 Eurybia macrophylla 		 Asteraceae	Carl D. LaRue	: 09/16/1915
151275	1251913 Symphyotrichum urophyllum 		 Asteraceae	George B. Sudworth	: 09/20/1891
151303	1251560 Symphyotrichum oolentangiense 		 Asteraceae	Carl D. LaRue	: 09/20/1915
151304	1253065 Symphyotrichum oolentangiense 		or near Asteraceae	George B. Sudworth	: 09/08/1890
151305	 Symphyotrichum oolentangiense 		 Asteraceae	George B. Sudworth	: 09/08/1890
151325	1251787 Symphyotrichum puniceum 		 Asteraceae	Carl O. Erlanson	: 09/26/1921
151326	1251778 Symphyotrichum puniceum 		 Asteraceae	Carl D. LaRue	: 09/14/1915
151327	1251777 Symphyotrichum puniceum 		 Asteraceae	Carl D. LaRue	: 09/14/1915
150676	1251163 Symphyotrichum lateriflorum 		 Asteraceae	Harold W. Thompson	: 00/00/00
150679	1250720 Symphyotrichum cordifolium 		 Asteraceae	John H. Ehlers	28: 10/06/1916
150682	 Symphyotrichum cordifolium 		 Asteraceae	Carl O. Erlanson	855: 10/09/1924
150688	 Symphyotrichum cordifolium 		 Asteraceae	Louis H. Jordal	3335: 10/14/1949
150720	1251041 Symphyotrichum lanceolatum 		cf.  Asteraceae	George B. Sudworth	: 09/20/1891
150721	1251042 Symphyotrichum lanceolatum 		 Asteraceae	George B. Sudworth	: 09/20/1891
151389	1251466 Symphyotrichum novae-angliae 		 Asteraceae	Carl D. LaRue	: 09/20/1915
151406	1251469 Symphyotrichum novae-angliae 		 Asteraceae	Carl D. LaRue	: 08/06/1915
151440	1251486 Symphyotrichum novae-angliae 		 Asteraceae	Peter W. Fritsch	66: 08/18/1985
151477	1251450 Symphyotrichum novae-angliae 		 Asteraceae	Carl D. LaRue	: 09/09/1915
151363	1251449 Symphyotrichum novae-angliae 		 Asteraceae	Elizabeth C. Almendinger	: 09/23/1862
151588	1251545 Symphyotrichum oolentangiense 		 Asteraceae	Elizabeth C. Almendinger	: 09/28/1862
151739	1251760 Symphyotrichum puniceum 		 Asteraceae	George B. Sudworth	: 09/20/1891
151751	 Symphyotrichum urophyllum 		 Asteraceae	John H. Ehlers	5525: 09/15/1933
151753	1251888 Symphyotrichum urophyllum 		 Asteraceae	A.J. Pieters	: 09/18/1892
151816	 Symphyotrichum urophyllum 		 Asteraceae	Frederick J. Hermann	9234: 09/12/1937
151822	1251930 Symphyotrichum shortii 		 Asteraceae	Frederick J. Hermann	7345: 10/02/1935
151833	1251911 Symphyotrichum urophyllum 		 Asteraceae	A.J. Pieters	17: 09/03/1892
151884	1252008 Doellingeria umbellata 		 Asteraceae	Peter W. Fritsch	127: 09/15/1985
151921	 Valeriana uliginosa 		 Valerianaceae	Stewart H. Burnham	: 05/20/1899
151544	1251835 Symphyotrichum puniceum 		 Asteraceae	John H. Ehlers	5524a: 09/15/1933
152025	 Heliopsis helianthoides 		 Asteraceae	C. Marvin Rogers	7983: 10/11/1951
152029	 Pedicularis lanceolata 		 Orobanchaceae	Frederick J. Hermann	7338: 09/22/1935
152124	 Krigia biflora 		 Asteraceae	C. Marvin Rogers	3572: 06/04/1946
152185	 Penstemon hirsutus 		 Plantaginaceae	Stewart H. Burnham	: 05/27/1898
152189	 Cymbalaria muralis 		 Plantaginaceae	Frederick J. Hermann	9081: 07/21/1937
152885	 Euthamia graminifolia 		 Asteraceae	C. Marvin Rogers	5462: 09/17/1947
152893	 Helianthus maximiliani 		 Asteraceae	Oliver A. Farwell	6783: 09/12/1923
152940	 Arnoglossum atriplicifolium 		 Asteraceae	Stewart H. Burnham	: 10/15/1898
152982	 Matricaria discoidea 		 Asteraceae	C. Marvin Rogers	3705: 07/21/1946
152990	 Solidago uliginosa 		 Asteraceae	Frederick J. Hermann	9381: 10/06/1937
153006	 Solidago patula 		 Asteraceae	C. Marvin Rogers	5510: 09/18/1947
153017	 Solidago altissima 		 Asteraceae	C. Marvin Rogers	5464: 09/17/1947
153047	 Packera aurea 		 Asteraceae	Stewart H. Burnham	: 05/08/1898
153166	 Rudbeckia laciniata 		 Asteraceae	C. Marvin Rogers	3969: 08/24/1946
153223	 Solidago rigida 		 Asteraceae	C. Marvin Rogers	3968: 08/24/1946
153240	 Solidago flexicaulis 		 Asteraceae	C. Marvin Rogers	3965: 08/24/1946
153298	 Packera aurea 		 Asteraceae	C. Marvin Rogers	3844: 05/28/1946
153460	 Symphyotrichum lateriflorum 		 Asteraceae	C. Marvin Rogers	5466: 09/17/1947
153538	 Solidago riddellii 		 Asteraceae	C. Marvin Rogers	5501: 09/18/1947
153596	 Solidago uliginosa 		 Asteraceae	C. Marvin Rogers	5497: 09/18/1947
153635	 Antennaria howellii 		probably Asteraceae	C. Marvin Rogers	3498: 04/22/1946
153706	 Symphyotrichum lateriflorum 		 Asteraceae	C. Marvin Rogers	5481: 09/17/1947
153717	 Symphyotrichum cordifolium 		 Asteraceae	C. Marvin Rogers	5477: 09/17/1947
153744	 Symphyotrichum novae-angliae 		 Asteraceae	C. Marvin Rogers	5506: 09/18/1947
153881	 Symphyotrichum lateriflorum 		 Asteraceae	C. Marvin Rogers	5475: 09/17/1947
153883	 Symphyotrichum firmum 		 Asteraceae	C. Marvin Rogers	5451: 09/17/1947
153884	 Symphyotrichum firmum 		 Asteraceae	C. Marvin Rogers	5496: 09/18/1947
152330	 Silphium terebinthinaceum 		 Asteraceae	C. Marvin Rogers	3801: 07/27/1946
152347	 Vaccinium corymbosum 		 Ericaceae	Frederick J. Hermann	6470: 05/15/1935
152479	 Prenanthes altissima 		 Asteraceae	C. Marvin Rogers	5473: 09/17/1947
152524	 Viburnum acerifolium 		 Adoxaceae	Frederick J. Hermann	9358: 09/24/1937
152532	 Ratibida pinnata 		 Asteraceae	C. Marvin Rogers	3805: 07/27/1946
152636	 Vernonia missurica 		 Asteraceae	Stewart H. Burnham	: 09/27/1898
152637	 Solidago rigida 		 Asteraceae	Stewart H. Burnham	: 09/27/1898
152708	 Solidago ohioensis 		 Asteraceae	Stewart H. Burnham	: 09/27/1896
152715	 Liatris cylindracea 		 Asteraceae	Frederick J. Hermann	9131: 08/05/1937
152728	 Symphyotrichum ericoides 		 Asteraceae	Stewart H. Burnham	: 09/27/1898
153983	 Doellingeria umbellata 		 Asteraceae	C. Marvin Rogers	4001: 08/31/1946
154024	 Doellingeria umbellata 		 Asteraceae	C. Marvin Rogers	5513: 09/18/1947
154054	1250041 Antennaria neglecta 		 Asteraceae	Lewis E. Foote	: 04/23/1863
154057	1250044 Antennaria neglecta 		 Asteraceae	Effie A. Southworth	: 05/21/1885
154072	1250059 Antennaria neglecta 		 Asteraceae		: 05/11/00
154073	1250065 Antennaria neglecta 		 Asteraceae	Frederick J. Hermann	8584: 05/24/1937
154131	1250045 Antennaria neglecta 		 Asteraceae	N.D. Corbin	: 00/00/00
154133	1250047 Antennaria neglecta 		 Asteraceae	Frederick J. Hermann	89: 05/13/1926
154257	1250075 Antennaria parlinii 		 Asteraceae	Carl O. Grassl	5222: 05/25/1933
154756	 Solidago canadensis 		 Asteraceae	William S. Benninghoff	: 10/16/1958
154767	 Solidago canadensis 		 Asteraceae	Stanwyn G. Shetler	1093: 09/23/1958
155102	 Solidago rugosa 		 Asteraceae	Alfred E. Schuyler	2278: 08/26/1960
155312	 Symphyotrichum novae-angliae 		 Asteraceae	Frederick J. Hermann	9232: 09/12/1937
155327	 Solidago juncea 		 Asteraceae	A.A. Heller	: 08/22/1926
155507	 Antennaria neglecta 		 Asteraceae	Frederick J. Hermann	7382: 05/20/1936
155508	 Antennaria neglecta 		 Asteraceae	Frederick J. Hermann	7384: 05/20/1936
155526	1003109 Artemisia annua 		 Asteraceae	Karen Douthit	: 11/05/1993
156381	 Solidago rigida 		 Asteraceae	Paul W. Thompson	S-2207: 08/26/1980
158748	 Hieracium piloselloides 		 Asteraceae	James R. Wells & Paul W. Thompson	940: 06/22/1968
158872	 Silphium terebinthinaceum 		 Asteraceae	Oliver A. Farwell	7044: 08/20/1924
158995	 Silphium laciniatum 		 Asteraceae	Oliver A. Farwell	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
159110	 Helianthus occidentalis 		 Asteraceae	Paul W. Thompson	S-2209: 08/26/1980
159159	 Helianthus pauciflorus 		 Asteraceae	Oliver A. Farwell	6786: 09/14/1923
159186	 Inula helenium 		 Asteraceae	Oliver A. Farwell	1184: 07/27/1891
159359	 Tragopogon porrifolius 		 Asteraceae	Oliver A. Farwell	8208: 06/21/1928
159505	 Lactuca serriola 		 Asteraceae	Oliver A. Farwell	: 08/12/1891
159977	 Lysimachia lanceolata 		 Myrsinaceae	A.B. Lyons, M.D.	: 00/00/00
160270	 Antennaria neglecta 		 Asteraceae	Lois Jotter	503: 05/15/1936
160272	 Antennaria parlinii 		 Asteraceae	Frederick J. Hermann	7392: 05/21/1936
160275	 Cirsium muticum 		 Asteraceae	Frederick J. Hermann	6987: 08/19/1935
160292	 Krigia biflora 		 Asteraceae	Stewart H. Burnham	: 05/27/1898
160293	 Helianthus giganteus 		 Asteraceae	Liberty H. Bailey, Jr.	934: 08/15/1937
160360	 Solidago uliginosa 		 Asteraceae	Stewart H. Burnham	: 11/03/1898
160368	 Helianthus maximiliani 		 Asteraceae	Stewart H. Burnham	: 10/00/1898
160385	 Bidens trichosperma 		 Asteraceae	Frederick J. Hermann	9214: 09/06/1937
160398	 Helenium autumnale 		 Asteraceae	Stewart H. Burnham	: 09/27/1898
160399	 Heliopsis helianthoides 		 Asteraceae	Stewart H. Burnham	: 10/06/1898
160486	 Symphyotrichum firmum 		 Asteraceae	Stewart H. Burnham	: 10/06/1898
160593	 Symphyotrichum laeve 		 Asteraceae	Frederick J. Hermann	9275: 09/17/1937
160595	 Symphyotrichum laeve 		or hybrid Asteraceae	Stewart H. Burnham	: 10/15/1898
160608	 Symphyotrichum cordifolium 		 Asteraceae	Stewart H. Burnham	: 10/20/1898
160635	 Erigeron pulchellus 		 Asteraceae	Stewart H. Burnham	: 05/27/1898
160675	 Cirsium muticum 		 Asteraceae	Stewart H. Burnham	: 09/27/1898
160720	 Silphium terebinthinaceum 		 Asteraceae	Stewart H. Burnham	: 09/27/1898
160770	 Helianthus giganteus 		 Asteraceae	Stewart H. Burnham	: 09/27/1898
160781	 Arnoglossum atriplicifolium 		 Asteraceae	Stewart H. Burnham	: 10/15/1898
160795	 Ratibida pinnata 		 Asteraceae	Stewart H. Burnham	: 09/27/1898
160797	 Prenanthes alba 		 Asteraceae	Stewart H. Burnham	: 09/27/1898
160855	 Symphyotrichum ericoides 		 Asteraceae	Frederick J. Hermann	9289: 09/17/1937
160856	 Solidago rigida 		 Asteraceae	Stewart H. Burnham	: 09/27/1898
160857	 Solidago rigida 		 Asteraceae	John H. Ehlers	4637: 10/21/1930
160872	 Lactuca serriola 		 Asteraceae	Stewart H. Burnham	: 10/09/1897
160889	 Symphyotrichum ericoides 		 Asteraceae	Stewart H. Burnham	: 09/27/1898
160892	 Doellingeria umbellata 		 Asteraceae	Stewart H. Burnham	: 10/06/1898
160938	 Symphyotrichum urophyllum 		 Asteraceae	Frederick J. Hermann	9274: 09/17/1937
160981	 Symphyotrichum urophyllum 		or hybrid Asteraceae	Stewart H. Burnham	: 10/15/1898
161024	 Packera paupercula 		 Asteraceae	Stewart H. Burnham	: 05/20/1899
161028	 Packera aurea 		 Asteraceae	Lois Jotter	511: 05/15/1936
161029	 Packera aurea 		 Asteraceae	Stewart H. Burnham	: 05/08/1898
161078	 Solidago riddellii 		 Asteraceae	Stewart H. Burnham	: 09/27/1899
161094	 Solidago nemoralis 		 Asteraceae	Frederick J. Hermann	9351: 09/23/1937
161118	 Vernonia missurica 		 Asteraceae	Stewart H. Burnham	: 09/27/1898
161148	1475850 Symphyotrichum cordifolium 		 Asteraceae	Edward G. Voss	1828: 09/29/1953
161210	 Tanacetum parthenium 		 Asteraceae	Stewart H. Burnham	: 10/04/1897
161227	 Sonchus oleraceus 		 Asteraceae	Liberty H. Bailey, Jr.	: 08/22/1885
161228	 Solidago ohioensis 		 Asteraceae	Stewart H. Burnham	: 09/27/1898
161584	 Phlox pilosa 		 Polemoniaceae	James R. Wells	936: 06/22/1968
161696	 Gentiana alba 		 Gentianaceae	Paul W. Thompson	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
162126	 Lithospermum canescens 		 Boraginaceae	Calvin H. Kauffman & Bessie B. Kanouse	: 06/28/1952
162250	1319228 Carex aggregata 		 Cyperaceae	Anton A. Reznicek	9878: 06/11/1994
162586	 Blephilia ciliata 		 Lamiaceae	Calvin H. Kauffman	: 06/28/1926
162747	1331800 Trichophorum clintonii 		 Cyperaceae	Matthew C. Heumann	s.n.: 05/19/1992
163335	1343861 Spiranthes ovalis 		 Orchidaceae	Anton A. Reznicek	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
164092	 Solanum dulcamara 		 Solanaceae	Oliver A. Farwell	8215: 08/20/1928
165791	1212783 Echinochloa muricata 		 Poaceae	H.W. Thomson	: 10/14/1903
165799	1212719 Echinochloa crusgalli 		 Poaceae	Elizabeth C. Almendinger	: 00/00/00
165821	1212721 Echinochloa crusgalli 		 Poaceae	A.B. Lyons, M.D.	: 00/00/00
165889	1216612 Elymus villosus 		 Poaceae	Elizabeth C. Almendinger	s.n.: 00/00/00
165890	1216613 Elymus villosus 		 Poaceae	Frederick J. Hermann	6884: 07/13/1935
165891	 Elymus villosus 		 Poaceae	Louis K. Ludwig	452: 07/04/1938
165893	1216614 Elymus villosus 		 Poaceae	A.J. Pieters	147: 08/08/1892
165894	1216615 Elymus villosus 		 Poaceae	George B. Sudworth	s.n.: 07/19/1886
165942	1216580 Elymus riparius 		 Poaceae	Frederick J. Hermann	1420: 08/00/1927
165943	1216582 Elymus riparius 		 Poaceae	Alexander H. Smith	s.n.: 07/01/1930
165953	1212781 Echinochloa muricata 		 Poaceae	Frieda Cobb	: 09/10/1918
165965	1212880 Elymus canadensis 		 Poaceae	Oliver A. Farwell	7042a: 08/20/1924
166079	1216515 Digitaria sanguinalis 		 Poaceae	Paul J. Podolski	: 07/28/1917
166143	1216696 Elymus virginicus 		 Poaceae	John H. Ehlers	1451: 10/00/1920
166146	1221147 Carex trichocarpa 		 Cyperaceae	Beverly S. Walters	768: 07/17/2004
166166	1212937 Elymus riparius 		 Poaceae	Peter W. Fritsch	113: 09/15/1985
166204	1216698 Elymus virginicus 		 Poaceae	Henry T. Mukai	6: 10/04/1950
166205	1216699 Elymus virginicus 		 Poaceae	A.J. Pieters	s.n.: 07/25/1892
166206	1216700 Elymus virginicus 		 Poaceae	George B. Sudworth	s.n.: 08/01/1886
166279	1221356 Kolkwitzia amabilis 		 Linnaeaceae	Anton A. Reznicek	11630: 12/05/2004
166303	1003661 Eragrostis cilianensis 		 Poaceae	A.J. Pieters	s.n.: 07/22/1892
166305	1216784 Eragrostis cilianensis 		 Poaceae	Paul J. Podolski	s.n.: 08/10/1917
166522	1216781 Eragrostis cilianensis 		 Poaceae	A.B. Lyons, M.D.	s.n.: 08/00/1874
166524	 Eragrostis cilianensis 		 Poaceae	Sister M. Marcelline Horton	1626: 07/02/1934
166525	1216785 Eragrostis cilianensis 		 Poaceae	Bert E. Quick	s.n.: 10/21/1912
166591	1216775 Eragrostis cilianensis 		 Poaceae	Frederick J. Hermann	6283: 07/20/1934
166592	1216776 Eragrostis cilianensis 		 Poaceae	Frederick J. Hermann	9134: 08/16/1937
166593	 Eragrostis hypnoides 		 Poaceae	Louis K. Ludwig	1392: 07/08/1941
166601	1188960 Lolium arundinaceum 		 Poaceae	Peter W. Fritsch	200: 06/05/1986
166610	1221351 Picris hieracioides 		 Asteraceae	Anton A. Reznicek	11742: 10/05/2005
166655	1221422 Typha latifolia 		 Typhaceae	James E. Perley	414: 07/10/1959
166669	1221361 Cotoneaster adpressus 		 Rosaceae	Anton A. Reznicek	11744: 10/05/2005
166685	1216733 Eragrostis cilianensis 		 Poaceae	Peter W. Fritsch	323: 08/16/1986
166694	1221354 Pyrus calleryana 		? Rosaceae	Anton A. Reznicek	11746: 10/15/2005
166702	1216786 Eragrostis cilianensis 		 Poaceae	Warren H. Wagner, Jr.	s.n.: 08/19/1955
166733	1221372 Carex squarrosa 		 Cyperaceae	Anton A. Reznicek	11745: 10/05/2005
166821	1216772 Eragrostis cilianensis 		 Poaceae		s.n.: 08/12/1870
166824	 Eragrostis cilianensis 		 Poaceae	Louis K. Ludwig	571: 09/14/1938
166825	 Eragrostis cilianensis 		 Poaceae	Louis K. Ludwig	1057: 07/17/1940
166826	1216780 Eragrostis cilianensis 		 Poaceae	Louis K. Ludwig	1057: 07/17/1940
